total_fuel,total_time,total_distance,avg_speed,std_speed,max_speed,min_acc,max_acc,std_acc,n_harsh_accelerations,n_back_jerks,n_harsh_brakes,n_forward_jerks,hour_of_day,n_points,generalized_weight,engine_volume
0.29986010940679364,1151.1000000000001,4.718160785224783,19.078111587982832,21.132211285597933,59.0,-11.990740740740739,23.23456790123457,2.851944874045183,38,102,1123,1059,16,1165,6000.0,6.0
0.10266993620185273,169.6,2.5964460623366605,54.03629032258065,19.995209283219413,77.0,-11.775132275132277,8.66417678182384,3.299792028695186,19,24,225,220,13,248,6000.0,6.0
0.08824043647834749,154.70000000000002,2.582552624631192,59.972972972972975,13.979273254150167,75.0,-7.661220043572985,10.257014590347923,2.770958872220556,12,22,206,196,14,222,6000.0,6.0
0.20072583617728976,904.2,2.3973916150377876,11.527200791295746,12.610226950409391,40.0,-8.951178451178457,10.370370370370368,2.3277146588710966,32,102,975,905,14,1011,6000.0,6.0
0.09567248797727851,259.1,1.9524121325761283,30.20277777777778,23.616374401985777,64.0,-14.396825396825397,19.835390946502056,3.596788645654217,31,57,325,299,17,360,6000.0,6.0
0.20540810231202017,572.3,5.218372456961871,37.10991957104557,23.227495117232824,68.0,-14.537037037037033,13.88888888888888,3.087238324523554,63,217,1052,898,18,1119,6000.0,6.0
0.0755291262271915,214.2,1.0885009860096737,19.692134831460674,14.499520221319266,44.0,-13.395061728395062,6.460905349794242,3.145815736977389,7,113,434,328,16,445,6000.0,6.0
0.05714772672827751,113.7,1.6391869535101193,51.37837837837838,20.171447212123105,77.0,-21.882716049382708,9.848484848484867,4.105909620947216,12,49,243,206,15,259,6000.0,6.0
0.1735866507596344,375.3,0.05762536871581236,46.99565846599132,22.420002293998436,81.0,-22.150260777711754,12.242798353909478,4.159609927107697,53,141,634,546,15,691,6000.0,6.0
0.1826779112906044,704.1,6.949115407191809,21.920661157024792,17.377299574601288,53.0,-21.78240740740741,19.16666666666667,3.858416093090775,54,245,1152,961,15,1210,6000.0,6.0
0.05550472091525942,159.8,1.1616692579573145,31.259786476868328,24.149832562802338,55.0,-14.518518518518528,6.049382716049382,2.5100622040116964,7,21,270,256,15,281,6000.0,6.0
0.06942302627355326,221.3,1.905806870283467,35.22826086956522,23.858051273965398,65.0,-13.055555555555555,12.222222222222221,3.1609739650565514,18,72,346,292,14,368,6000.0,6.0
0.2805673165210905,698.6,8.055172759357415,36.90620031796502,19.450627614252493,68.0,-15.185185185185182,17.037037037037035,2.9785634117565802,45,181,1209,1073,10,1258,6000.0,6.0
0.25262316398509416,627.7,7.13755391457221,40.997835497835496,18.73083123176456,71.0,-15.709876543209871,15.370370370370361,2.9094729145942306,45,257,1337,1125,11,1386,6000.0,6.0
0.02679915430644147,75.6,0.3877413601287939,27.47482014388489,20.191952384319006,57.0,-10.500000000000004,13.214285714285714,3.4637557256910054,6,21,129,114,14,139,6000.0,6.0
0.1395520401537183,341.2,3.2561998234678486,33.61695906432749,20.61022373752325,60.0,-12.901234567901232,15.617283950617287,3.445771885745667,37,115,643,565,17,684,6000.0,6.0
0.06085077918749017,103.8,0.28667029201691874,54.06912442396313,15.185879639768018,72.0,-13.257526532380334,10.370370370370372,3.9118684647330078,28,47,185,166,19,217,6000.0,6.0
0.04492399732521718,129.2,1.8749948991828171,36.532751091703055,29.674624723592018,74.0,-11.234567901234556,17.90123456790123,3.6858910328867625,17,36,208,189,19,229,6000.0,6.0
0.18280848209032013,401.8,4.535946014376793,44.184615384615384,23.768661912264356,74.0,-11.600529100529103,25.555555555555557,3.5081555390274346,46,135,795,706,14,845,6000.0,6.0
0.3414747243834672,481.7,9.877569995789601,81.19327731092437,36.69931302094129,118.0,-11.818181818181808,37.77777777777777,2.9621638462742426,21,102,927,846,15,952,6000.0,6.0
0.036882653455331406,112.4,0.8366820385920011,26.77777777777778,9.444394167789754,48.0,-14.160493827160494,6.8518518518518485,3.1369207291557184,5,41,252,216,17,261,6000.0,6.0
0.06596457799598028,188.6,0.8090414754861752,14.812698412698413,14.233488501582414,41.0,-12.592592592592593,10.909090909090908,3.3738803386056517,22,64,289,247,14,315,6000.0,6.0
0.07625093545048403,164.70000000000002,2.001046149189454,41.50917431192661,18.56343981951106,56.0,-10.11784511784512,11.599326599326597,2.8987423806454897,9,22,205,192,14,218,6000.0,6.0
0.2601780072813127,934.5,10.413494678565778,39.61784037558685,25.715831791527457,86.0,-27.034201665780618,37.91666666666665,3.9151912528077997,52,119,1009,942,13,1065,4500.0,3.6
0.0992611114548842,586.1,2.9006699224475323,16.028061224489797,12.561337765280525,44.0,-7.2839506172839465,13.703703703703708,2.832584249244697,32,102,748,678,16,784,4500.0,3.6
0.029029313484387944,134.1,0.6983522733241289,13.850931677018634,13.356745103188608,37.0,-5.689434022767355,12.063492063492063,2.7841445457318432,8,8,149,149,19,161,4500.0,3.6
0.11438037333704074,448.8,2.3880498203448606,20.79460580912863,11.5476654744939,39.0,-7.208576998050682,36.018518518518526,3.239743319554321,10,25,468,453,0,482,4500.0,3.6
0.03737639824081454,189.3,1.179750681610956,22.346153846153847,8.539448806696242,37.0,-6.049382716049382,11.666666666666663,2.052616778432447,4,24,252,232,0,260,4500.0,3.6
0.03795197652434007,175.6,0.6865431399479409,14.059055118110237,10.022921196003574,33.0,-6.280864197530863,14.583333333333334,3.016299049773784,11,29,239,221,18,254,4500.0,3.6
0.07437499076174246,440.3,1.9802530204379651,16.37043189368771,13.022851647691576,48.0,-15.357374918778428,13.759259259259254,2.800680045096221,21,58,577,540,21,602,4500.0,3.6
